task,time_bin,time_start,time_end,frames,positive_fraction,false_positive_fraction,false_negative_fraction
close the lid of the thermal cycler,0,0.0,0.05,250,0.0,0.0,0.0
close the lid of the thermal cycler,1,0.05,0.1,241,0.0,0.0,0.0
close the lid of the thermal cycler,2,0.1,0.15,244,0.0,0.0,0.0
close the lid of the thermal cycler,3,0.15,0.2,243,0.0,0.0,0.0
close the lid of the thermal cycler,4,0.2,0.25,243,0.0,0.0,0.0
close the lid of the thermal cycler,5,0.25,0.3,244,0.0,0.0,0.0
close the lid of the thermal cycler,6,0.3,0.35,245,0.0,0.0,0.0
close the lid of the thermal cycler,7,0.35,0.4,242,0.0,0.0,0.0
close the lid of the thermal cycler,8,0.4,0.45,244,0.0,0.0,0.0
close the lid of the thermal cycler,9,0.45,0.5,241,0.0,0.0,0.0
close the lid of the thermal cycler,10,0.5,0.55,246,0.0,0.0,0.0
close the lid of the thermal cycler,11,0.55,0.6,242,0.0,0.0,0.0
close the lid of the thermal cycler,12,0.6,0.65,244,0.0,0.0,0.0
close the lid of the thermal cycler,13,0.65,0.7,244,0.0,0.0,0.0
close the lid of the thermal cycler,14,0.7,0.75,243,0.0,0.0,0.0
close the lid of the thermal cycler,15,0.75,0.8,243,0.0,0.0,0.0
close the lid of the thermal cycler,16,0.8,0.85,245,0.0,0.0,0.0
close the lid of the thermal cycler,17,0.85,0.9,243,0.0,0.0,0.0
close the lid of the thermal cycler,18,0.9,0.95,242,0.0,0.04132231404958678,0.0
close the lid of the thermal cycler,19,0.95,1.0,250,1.0,0.0,0.0
open the lid of the thermal cycler,0,0.0,0.05,401,0.0,0.0,0.0
open the lid of the thermal cycler,1,0.05,0.1,400,0.0,0.0,0.0
open the lid of the thermal cycler,2,0.1,0.15,398,0.0,0.0,0.0
open the lid of the thermal cycler,3,0.15,0.2,398,0.0,0.0,0.0
open the lid of the thermal cycler,4,0.2,0.25,399,0.0,0.0,0.0
open the lid of the thermal cycler,5,0.25,0.3,399,0.0,0.0,0.0
open the lid of the thermal cycler,6,0.3,0.35,397,0.0,0.0,0.0
open the lid of the thermal cycler,7,0.35,0.4,398,0.0,0.0,0.0
open the lid of the thermal cycler,8,0.4,0.45,398,0.0,0.0,0.0
open the lid of the thermal cycler,9,0.45,0.5,400,0.0,0.0,0.0
open the lid of the thermal cycler,10,0.5,0.55,400,0.0,0.0,0.0
open the lid of the thermal cycler,11,0.55,0.6,396,0.0,0.0,0.0
open the lid of the thermal cycler,12,0.6,0.65,400,0.0,0.0,0.0
open the lid of the thermal cycler,13,0.65,0.7,397,0.0,0.0,0.0
open the lid of the thermal cycler,14,0.7,0.75,399,0.0,0.0,0.0
open the lid of the thermal cycler,15,0.75,0.8,397,0.0,0.0,0.0
open the lid of the thermal cycler,16,0.8,0.85,400,0.0,0.0,0.0
open the lid of the thermal cycler,17,0.85,0.9,398,0.0,0.0,0.0
open the lid of the thermal cycler,18,0.9,0.95,400,0.0,0.0,0.0
open the lid of the thermal cycler,19,0.95,1.0,402,0.6517412935323383,0.0,0.6517412935323383
place pcrPlate into the thermal cycler,0,0.0,0.05,340,0.0,0.0,0.0
place pcrPlate into the thermal cycler,1,0.05,0.1,340,0.0,0.0,0.0
place pcrPlate into the thermal cycler,2,0.1,0.15,337,0.0,0.0,0.0
place pcrPlate into the thermal cycler,3,0.15,0.2,338,0.0,0.0,0.0
place pcrPlate into the thermal cycler,4,0.2,0.25,335,0.0,0.0,0.0
place pcrPlate into the thermal cycler,5,0.25,0.3,338,0.0,0.0,0.0
place pcrPlate into the thermal cycler,6,0.3,0.35,338,0.0,0.0,0.0
place pcrPlate into the thermal cycler,7,0.35,0.4,339,0.0,0.0,0.0
place pcrPlate into the thermal cycler,8,0.4,0.45,338,0.0,0.0,0.0
place pcrPlate into the thermal cycler,9,0.45,0.5,332,0.0,0.0,0.0
place pcrPlate into the thermal cycler,10,0.5,0.55,340,0.0,0.0,0.0
place pcrPlate into the thermal cycler,11,0.55,0.6,338,0.0,0.0,0.0
place pcrPlate into the thermal cycler,12,0.6,0.65,339,0.0,0.008849557522123894,0.0
place pcrPlate into the thermal cycler,13,0.65,0.7,338,0.0,0.0,0.0
place pcrPlate into the thermal cycler,14,0.7,0.75,333,0.0,0.006006006006006006,0.0
place pcrPlate into the thermal cycler,15,0.75,0.8,340,0.0,0.0,0.0
place pcrPlate into the thermal cycler,16,0.8,0.85,338,0.0,0.4349112426035503,0.0
place pcrPlate into the thermal cycler,17,0.85,0.9,337,0.0,1.0,0.0
place pcrPlate into the thermal cycler,18,0.9,0.95,340,0.37058823529411766,0.6294117647058823,0.0
place pcrPlate into the thermal cycler,19,0.95,1.0,340,1.0,0.0,0.0
press the button of the thermal cycler,0,0.0,0.05,95,0.0,0.0,0.0
press the button of the thermal cycler,1,0.05,0.1,90,0.0,0.0,0.0
press the button of the thermal cycler,2,0.1,0.15,89,0.0,0.0,0.0
press the button of the thermal cycler,3,0.15,0.2,90,0.0,0.0,0.0
press the button of the thermal cycler,4,0.2,0.25,89,0.0,0.0,0.0
press the button of the thermal cycler,5,0.25,0.3,90,0.0,0.011111111111111112,0.0
press the button of the thermal cycler,6,0.3,0.35,92,0.0,0.010869565217391304,0.0
press the button of the thermal cycler,7,0.35,0.4,88,0.0,0.0,0.0
press the button of the thermal cycler,8,0.4,0.45,90,0.0,0.0,0.0
press the button of the thermal cycler,9,0.45,0.5,87,0.0,0.0,0.0
press the button of the thermal cycler,10,0.5,0.55,93,0.0,0.23655913978494625,0.0
press the button of the thermal cycler,11,0.55,0.6,88,0.0,0.9886363636363636,0.0
press the button of the thermal cycler,12,0.6,0.65,90,0.0,1.0,0.0
press the button of the thermal cycler,13,0.65,0.7,91,0.0,1.0,0.0
press the button of the thermal cycler,14,0.7,0.75,88,0.0,1.0,0.0
press the button of the thermal cycler,15,0.75,0.8,90,0.0,1.0,0.0
press the button of the thermal cycler,16,0.8,0.85,92,0.0,1.0,0.0
press the button of the thermal cycler,17,0.85,0.9,88,0.18181818181818182,0.8181818181818182,0.0
press the button of the thermal cycler,18,0.9,0.95,91,1.0,0.0,0.0
press the button of the thermal cycler,19,0.95,1.0,95,1.0,0.0,0.0
screw loosen the knob of the thermal cycler,0,0.0,0.05,180,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,1,0.05,0.1,178,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,2,0.1,0.15,174,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,3,0.15,0.2,176,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,4,0.2,0.25,175,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,5,0.25,0.3,177,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,6,0.3,0.35,177,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,7,0.35,0.4,174,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,8,0.4,0.45,178,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,9,0.45,0.5,172,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,10,0.5,0.55,180,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,11,0.55,0.6,176,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,12,0.6,0.65,176,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,13,0.65,0.7,175,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,14,0.7,0.75,175,0.0,0.0,0.0
screw loosen the knob of the thermal cycler,15,0.75,0.8,177,0.4067796610169492,0.0,0.327683615819209
screw loosen the knob of the thermal cycler,16,0.8,0.85,178,1.0,0.0,0.20224719101123595
screw loosen the knob of the thermal cycler,17,0.85,0.9,172,1.0,0.0,0.31976744186046513
screw loosen the knob of the thermal cycler,18,0.9,0.95,180,1.0,0.0,0.39444444444444443
screw loosen the knob of the thermal cycler,19,0.95,1.0,180,1.0,0.0,0.4388888888888889
screw tighten the knob of the thermal cycler,0,0.0,0.05,195,0.0,0.02564102564102564,0.0
screw tighten the knob of the thermal cycler,1,0.05,0.1,190,0.0,0.0,0.0
screw tighten the knob of the thermal cycler,2,0.1,0.15,190,0.0,0.0,0.0
screw tighten the knob of the thermal cycler,3,0.15,0.2,190,0.0,0.08421052631578947,0.0
screw tighten the knob of the thermal cycler,4,0.2,0.25,190,0.0,0.005263157894736842,0.0
screw tighten the knob of the thermal cycler,5,0.25,0.3,190,0.0,0.0,0.0
screw tighten the knob of the thermal cycler,6,0.3,0.35,190,0.0,0.0,0.0
screw tighten the knob of the thermal cycler,7,0.35,0.4,190,0.0,0.05789473684210526,0.0
screw tighten the knob of the thermal cycler,8,0.4,0.45,190,0.0,0.03684210526315789,0.0
screw tighten the knob of the thermal cycler,9,0.45,0.5,189,0.0,0.5608465608465608,0.0
screw tighten the knob of the thermal cycler,10,0.5,0.55,192,0.0,0.5625,0.0
screw tighten the knob of the thermal cycler,11,0.55,0.6,190,0.0,0.47368421052631576,0.0
screw tighten the knob of the thermal cycler,12,0.6,0.65,190,0.0,0.6105263157894737,0.0
screw tighten the knob of the thermal cycler,13,0.65,0.7,190,0.0,0.9894736842105263,0.0
screw tighten the knob of the thermal cycler,14,0.7,0.75,190,0.15789473684210525,0.8421052631578947,0.0
screw tighten the knob of the thermal cycler,15,0.75,0.8,190,1.0,0.0,0.0
screw tighten the knob of the thermal cycler,16,0.8,0.85,190,1.0,0.0,0.0
screw tighten the knob of the thermal cycler,17,0.85,0.9,190,1.0,0.0,0.0
screw tighten the knob of the thermal cycler,18,0.9,0.95,190,1.0,0.0,0.0
screw tighten the knob of the thermal cycler,19,0.95,1.0,196,1.0,0.0,0.0
